domain,date,max_concurrents
mynet.com,2015-07-19,68564
mynet.com,2015-07-20,100000
mynet.com,2015-07-21,100000
mynet.com,2015-07-22,100000
mynet.com,2015-07-23,100000
mynet.com,2015-07-24,100000
mynet.com,2015-07-25,99999
mynet.com,2015-07-26,90867
mynet.com,2015-07-27,100000
mynet.com,2015-07-28,100000
mynet.com,2015-07-29,100000
mynet.com,2015-07-30,100000
mynet.com,2015-07-31,100000
mynet.com,2015-08-01,95031
mynet.com,2015-08-02,66758
mynet.com,2015-08-03,99998
mynet.com,2015-08-04,100000
mynet.com,2015-08-05,98795
mynet.com,2015-08-06,96751
mynet.com,2015-08-07,100000
mynet.com,2015-08-08,79405
mynet.com,2015-08-09,54992
mynet.com,2015-08-10,100000
mynet.com,2015-08-11,100000
mynet.com,2015-08-12,100000
mynet.com,2015-08-13,100000
mynet.com,2015-08-14,96656
mynet.com,2015-08-15,99997
mynet.com,2015-08-16,62907
mynet.com,2015-08-17,100000
mynet.com,2015-08-18,100000
mynet.com,2015-08-19,100000
mynet.com,2015-08-20,100000
mynet.com,2015-08-21,100000
mynet.com,2015-08-22,83887
mynet.com,2015-08-23,74174
mynet.com,2015-08-24,100000
mynet.com,2015-08-25,100000
mynet.com,2015-08-26,100000
mynet.com,2015-08-27,100000
mynet.com,2015-08-28,100000
mynet.com,2015-08-29,95387
mynet.com,2015-08-30,72746
mynet.com,2015-08-31,100000
mynet.com,2015-09-01,100000
mynet.com,2015-09-02,100000
mynet.com,2015-09-03,100000
mynet.com,2015-09-04,99998
mynet.com,2015-09-05,83580
mynet.com,2015-09-06,100000
mynet.com,2015-09-07,100000
mynet.com,2015-09-08,100000
mynet.com,2015-09-09,109997
mynet.com,2015-09-10,102971
mynet.com,2015-09-11,90419
mynet.com,2015-09-12,66210
mynet.com,2015-09-13,66489
mynet.com,2015-09-14,110000
mynet.com,2015-09-15,97659
mynet.com,2015-09-16,110000
mynet.com,2015-09-17,92603
mynet.com,2015-09-18,100015
mynet.com,2015-09-19,85229
mynet.com,2015-09-20,55317
mynet.com,2015-09-21,67835
mynet.com,2015-09-22,95520
mynet.com,2015-09-23,62028
mynet.com,2015-09-24,54545
mynet.com,2015-09-25,52391
mynet.com,2015-09-26,42896
mynet.com,2015-09-27,68017
mynet.com,2015-09-28,80961
mynet.com,2015-09-29,74993
mynet.com,2015-09-30,86734
mynet.com,2015-10-01,97465
mynet.com,2015-10-02,80643
mynet.com,2015-10-03,64364
mynet.com,2015-10-04,53926
mynet.com,2015-10-05,77191
mynet.com,2015-10-06,82667
mynet.com,2015-10-07,94076
mynet.com,2015-10-08,88431
mynet.com,2015-10-09,78678
mynet.com,2015-10-10,109483
mynet.com,2015-10-11,75714
mynet.com,2015-10-12,92974
mynet.com,2015-10-13,104734
mynet.com,2015-10-14,107851
mynet.com,2015-10-15,96586
mynet.com,2015-10-16,91788
mynet.com,2015-10-17,79816
mynet.com,2015-10-18,102292
mynet.com,2015-10-19,95141
mynet.com,2015-10-20,81009
mynet.com,2015-10-21,84412
mynet.com,2015-10-22,101122
mynet.com,2015-10-23,82215
mynet.com,2015-10-24,60030
mynet.com,2015-10-25,59396
mynet.com,2015-10-26,76980
mynet.com,2015-10-27,76788
mynet.com,2015-10-28,72797
mynet.com,2015-10-29,44941
mynet.com,2015-10-30,63109
mynet.com,2015-10-31,86493
mynet.com,2015-11-01,99576
mynet.com,2015-11-02,110000
mynet.com,2015-11-03,88914
mynet.com,2015-11-04,91298
mynet.com,2015-11-05,99959
mynet.com,2015-11-06,90206
mynet.com,2015-11-07,79599
mynet.com,2015-11-08,50134
mynet.com,2015-11-09,81540
mynet.com,2015-11-10,74656
mynet.com,2015-11-11,78488
mynet.com,2015-11-12,97665
mynet.com,2015-11-13,77475
mynet.com,2015-11-14,70928
mynet.com,2015-11-15,48104
mynet.com,2015-11-16,89394
mynet.com,2015-11-17,82316
mynet.com,2015-11-18,79126
mynet.com,2015-11-19,79865
mynet.com,2015-11-20,99862
mynet.com,2015-11-21,58071
mynet.com,2015-11-22,62455
mynet.com,2015-11-23,77596
mynet.com,2015-11-24,109971
mynet.com,2015-11-25,95154
mynet.com,2015-11-26,91519
mynet.com,2015-11-27,92350
mynet.com,2015-11-28,81272
mynet.com,2015-11-29,53916
mynet.com,2015-11-30,102403
mynet.com,2015-12-01,97118
mynet.com,2015-12-02,83413
mynet.com,2015-12-03,103347
mynet.com,2015-12-04,77106
mynet.com,2015-12-05,69516
mynet.com,2015-12-06,57471
mynet.com,2015-12-07,82709
mynet.com,2015-12-08,86018
mynet.com,2015-12-09,94916
mynet.com,2015-12-10,75627
mynet.com,2015-12-11,89415
mynet.com,2015-12-12,62161
mynet.com,2015-12-13,56403
mynet.com,2015-12-14,83984
mynet.com,2015-12-15,87394
mynet.com,2015-12-16,77664
mynet.com,2015-12-17,78166
mynet.com,2015-12-18,74736
mynet.com,2015-12-19,53294
mynet.com,2015-12-20,45857
mynet.com,2015-12-21,67950
mynet.com,2015-12-22,89613
mynet.com,2015-12-23,77691
mynet.com,2015-12-24,69887
mynet.com,2015-12-25,72192
mynet.com,2015-12-26,56160
mynet.com,2015-12-27,49753
mynet.com,2015-12-28,79720
mynet.com,2015-12-29,78182
mynet.com,2015-12-30,77444
mynet.com,2015-12-31,81963
mynet.com,2016-01-01,54069
mynet.com,2016-01-02,53016
mynet.com,2016-01-03,47657
mynet.com,2016-01-04,95074
mynet.com,2016-01-05,77618
mynet.com,2016-01-06,82274
mynet.com,2016-01-07,96129
mynet.com,2016-01-08,90822
mynet.com,2016-01-09,65420
mynet.com,2016-01-10,64332
mynet.com,2016-01-11,110000
mynet.com,2016-01-12,110000
mynet.com,2016-01-13,80525
mynet.com,2016-01-14,108303
mynet.com,2016-01-15,91209
mynet.com,2016-01-16,56877
mynet.com,2016-01-17,64332
mynet.com,2016-01-18,110000
mynet.com,2016-01-19,101231
mynet.com,2016-01-20,91277
mynet.com,2016-01-21,96913
mynet.com,2016-01-22,78888
mynet.com,2016-01-23,58689
mynet.com,2016-01-24,43715
mynet.com,2016-01-25,75714
mynet.com,2016-01-26,95431
mynet.com,2016-01-27,81639
mynet.com,2016-01-28,91356
mynet.com,2016-01-29,83395
mynet.com,2016-01-30,70498
mynet.com,2016-01-31,43135
mynet.com,2016-02-01,81052
mynet.com,2016-02-02,75869
mynet.com,2016-02-03,72024
mynet.com,2016-02-04,74603
mynet.com,2016-02-05,82855
mynet.com,2016-02-06,42657
mynet.com,2016-02-07,38626
mynet.com,2016-02-08,59646
mynet.com,2016-02-09,69640
mynet.com,2016-02-10,75011
mynet.com,2016-02-11,69781
mynet.com,2016-02-12,65702
mynet.com,2016-02-13,48006
mynet.com,2016-02-14,51811
mynet.com,2016-02-15,64266
mynet.com,2016-02-16,63631
mynet.com,2016-02-17,77134
mynet.com,2016-02-18,107087
mynet.com,2016-02-19,70293
mynet.com,2016-02-20,36305
mynet.com,2016-02-21,41297
mynet.com,2016-02-22,63358
mynet.com,2016-02-23,64555
mynet.com,2016-02-24,71001
mynet.com,2016-02-25,68813
mynet.com,2016-02-26,70224
mynet.com,2016-02-27,36126
mynet.com,2016-02-28,38560
mynet.com,2016-02-29,53830
mynet.com,2016-03-01,68586
mynet.com,2016-03-02,56522
mynet.com,2016-03-03,80394
mynet.com,2016-03-04,71446
mynet.com,2016-03-05,39196
mynet.com,2016-03-06,32323
mynet.com,2016-03-07,56737
mynet.com,2016-03-08,57300
mynet.com,2016-03-09,56731
mynet.com,2016-03-10,56000
mynet.com,2016-03-11,81654
mynet.com,2016-03-12,56863
mynet.com,2016-03-13,126101
mynet.com,2016-03-14,98622
mynet.com,2016-03-15,134088
mynet.com,2016-03-16,106083
mynet.com,2016-03-17,104507
mynet.com,2016-03-18,143192
mynet.com,2016-03-19,152525
mynet.com,2016-03-20,87234
mynet.com,2016-03-21,102484
mynet.com,2016-03-22,137595
mynet.com,2016-03-23,115361
mynet.com,2016-03-24,138022
mynet.com,2016-03-25,91437
mynet.com,2016-03-26,66668
mynet.com,2016-03-27,65850
