domain,date,max_concurrents
ibtimes.co.uk,2016-01-30,3411
ibtimes.co.uk,2016-01-31,3363
ibtimes.co.uk,2016-02-01,4123
ibtimes.co.uk,2016-02-02,4383
ibtimes.co.uk,2016-02-03,4069
ibtimes.co.uk,2016-02-04,3907
ibtimes.co.uk,2016-02-05,3556
ibtimes.co.uk,2016-02-06,3347
ibtimes.co.uk,2016-02-07,4760
ibtimes.co.uk,2016-02-08,4106
ibtimes.co.uk,2016-02-09,3470
ibtimes.co.uk,2016-02-10,3988
ibtimes.co.uk,2016-02-11,3471
ibtimes.co.uk,2016-02-12,3193
ibtimes.co.uk,2016-02-13,2899
ibtimes.co.uk,2016-02-14,2801
ibtimes.co.uk,2016-02-15,4069
ibtimes.co.uk,2016-02-16,5000
ibtimes.co.uk,2016-02-17,3652
ibtimes.co.uk,2016-02-18,3748
ibtimes.co.uk,2016-02-19,3362
ibtimes.co.uk,2016-02-20,2569
ibtimes.co.uk,2016-02-21,4999
ibtimes.co.uk,2016-02-22,3774
ibtimes.co.uk,2016-02-23,3407
ibtimes.co.uk,2016-02-24,4557
ibtimes.co.uk,2016-02-25,3545
ibtimes.co.uk,2016-02-26,3335
ibtimes.co.uk,2016-02-27,3061
ibtimes.co.uk,2016-02-28,3061
ibtimes.co.uk,2016-02-29,3885
ibtimes.co.uk,2016-03-01,3200
ibtimes.co.uk,2016-03-02,5000
ibtimes.co.uk,2016-03-03,5000
ibtimes.co.uk,2016-03-04,3573
ibtimes.co.uk,2016-03-05,3104
ibtimes.co.uk,2016-03-06,2829
ibtimes.co.uk,2016-03-07,3522
ibtimes.co.uk,2016-03-08,3556
ibtimes.co.uk,2016-03-09,3499
ibtimes.co.uk,2016-03-10,4029
ibtimes.co.uk,2016-03-11,3249
ibtimes.co.uk,2016-03-12,2982
ibtimes.co.uk,2016-03-13,3109
ibtimes.co.uk,2016-03-14,3927
ibtimes.co.uk,2016-03-15,5016
ibtimes.co.uk,2016-03-16,5249
ibtimes.co.uk,2016-03-17,4099
ibtimes.co.uk,2016-03-18,4060
ibtimes.co.uk,2016-03-19,5261
ibtimes.co.uk,2016-03-20,3896
ibtimes.co.uk,2016-03-21,4613
ibtimes.co.uk,2016-03-22,4753
ibtimes.co.uk,2016-03-23,4445
ibtimes.co.uk,2016-03-24,4676
