domain,date,max_concurrents
ft.com,2015-08-01,3620
ft.com,2015-08-02,5973
ft.com,2015-08-03,26778
ft.com,2015-08-04,26130
ft.com,2015-08-05,25371
ft.com,2015-08-06,23216
ft.com,2015-08-07,20938
ft.com,2015-08-08,3490
ft.com,2015-08-09,5311
ft.com,2015-08-10,25656
ft.com,2015-08-11,26133
ft.com,2015-08-12,25880
ft.com,2015-08-13,24192
ft.com,2015-08-14,21065
ft.com,2015-08-15,4705
ft.com,2015-08-16,7100
ft.com,2015-08-17,26069
ft.com,2015-08-18,25077
ft.com,2015-08-19,24869
ft.com,2015-08-20,23914
ft.com,2015-08-21,21488
ft.com,2015-08-22,3463
ft.com,2015-08-23,7625
ft.com,2015-08-24,34700
ft.com,2015-08-25,29372
ft.com,2015-08-26,27721
ft.com,2015-08-27,24808
ft.com,2015-08-28,21093
ft.com,2015-08-29,3621
ft.com,2015-08-30,6338
ft.com,2015-08-31,16214
ft.com,2015-09-01,27281
ft.com,2015-09-02,26520
ft.com,2015-09-03,24725
ft.com,2015-09-04,23276
ft.com,2015-09-05,4073
ft.com,2015-09-06,6829
ft.com,2015-09-07,29713
ft.com,2015-09-08,27019
ft.com,2015-09-09,34700
ft.com,2015-09-10,26183
ft.com,2015-09-11,22484
ft.com,2015-09-12,5260
ft.com,2015-09-13,7173
ft.com,2015-09-14,30086
ft.com,2015-09-15,25905
ft.com,2015-09-16,26717
ft.com,2015-09-17,24369
ft.com,2015-09-18,22634
ft.com,2015-09-19,3961
ft.com,2015-09-20,6387
ft.com,2015-09-21,29293
ft.com,2015-09-22,27199
ft.com,2015-09-23,26357
ft.com,2015-09-24,23690
ft.com,2015-09-25,23058
ft.com,2015-09-26,4027
ft.com,2015-09-27,5393
ft.com,2015-09-28,30080
ft.com,2015-09-29,29313
ft.com,2015-09-30,28014
ft.com,2015-10-01,25877
ft.com,2015-10-02,22892
ft.com,2015-10-03,4234
ft.com,2015-10-04,6413
ft.com,2015-10-05,29854
ft.com,2015-10-06,27777
ft.com,2015-10-07,28509
ft.com,2015-10-08,26876
ft.com,2015-10-09,24520
ft.com,2015-10-10,4624
ft.com,2015-10-11,6141
ft.com,2015-10-12,29524
ft.com,2015-10-13,28110
ft.com,2015-10-14,26640
ft.com,2015-10-15,26935
ft.com,2015-10-16,24741
ft.com,2015-10-17,4860
ft.com,2015-10-18,7420
ft.com,2015-10-19,30231
ft.com,2015-10-20,27608
ft.com,2015-10-21,26366
ft.com,2015-10-22,25267
ft.com,2015-10-23,23088
ft.com,2015-10-24,4457
ft.com,2015-10-25,6774
ft.com,2015-10-26,29105
ft.com,2015-10-27,26558
ft.com,2015-10-28,25358
ft.com,2015-10-29,26091
ft.com,2015-10-30,23097
ft.com,2015-10-31,4401
ft.com,2015-11-01,6653
ft.com,2015-11-02,28417
ft.com,2015-11-03,25794
ft.com,2015-11-04,24336
ft.com,2015-11-05,23970
ft.com,2015-11-06,21723
ft.com,2015-11-07,5075
ft.com,2015-11-08,7029
ft.com,2015-11-09,28186
ft.com,2015-11-10,25272
ft.com,2015-11-11,24135
ft.com,2015-11-12,24665
ft.com,2015-11-13,22845
ft.com,2015-11-14,6615
ft.com,2015-11-15,7254
ft.com,2015-11-16,29539
ft.com,2015-11-17,25692
ft.com,2015-11-18,24230
ft.com,2015-11-19,24026
ft.com,2015-11-20,21744
ft.com,2015-11-21,4711
ft.com,2015-11-22,6095
ft.com,2015-11-23,27114
ft.com,2015-11-24,25557
ft.com,2015-11-25,24146
ft.com,2015-11-26,24617
ft.com,2015-11-27,20819
ft.com,2015-11-28,4518
ft.com,2015-11-29,7769
ft.com,2015-11-30,27076
ft.com,2015-12-01,24333
ft.com,2015-12-02,23558
ft.com,2015-12-03,28336
ft.com,2015-12-04,21383
ft.com,2015-12-05,4355
ft.com,2015-12-06,7662
ft.com,2015-12-07,27492
ft.com,2015-12-08,23216
ft.com,2015-12-09,23455
ft.com,2015-12-10,22366
ft.com,2015-12-11,20492
ft.com,2015-12-12,4435
ft.com,2015-12-13,6981
ft.com,2015-12-14,25712
ft.com,2015-12-15,22658
ft.com,2015-12-16,23350
ft.com,2015-12-17,22495
ft.com,2015-12-18,19159
ft.com,2015-12-19,3921
ft.com,2015-12-20,5005
ft.com,2015-12-21,19630
ft.com,2015-12-22,17601
ft.com,2015-12-23,14085
ft.com,2015-12-24,8118
ft.com,2015-12-25,2459
ft.com,2015-12-26,2497
ft.com,2015-12-27,4479
ft.com,2015-12-28,8449
ft.com,2015-12-29,11440
ft.com,2015-12-30,10729
ft.com,2015-12-31,8789
ft.com,2016-01-01,3846
ft.com,2016-01-02,3572
ft.com,2016-01-03,5733
ft.com,2016-01-04,27497
ft.com,2016-01-05,24511
ft.com,2016-01-06,23772
ft.com,2016-01-07,27221
ft.com,2016-01-08,23197
ft.com,2016-01-09,4470
ft.com,2016-01-10,5769
ft.com,2016-01-11,28407
ft.com,2016-01-12,26801
ft.com,2016-01-13,26160
ft.com,2016-01-14,24879
ft.com,2016-01-15,22527
ft.com,2016-01-16,4440
ft.com,2016-01-17,6617
ft.com,2016-01-18,30172
ft.com,2016-01-19,26597
ft.com,2016-01-20,26151
ft.com,2016-01-21,27226
ft.com,2016-01-22,23938
ft.com,2016-01-23,4809
ft.com,2016-01-24,7931
ft.com,2016-01-25,29763
ft.com,2016-01-26,27350
ft.com,2016-01-27,25880
ft.com,2016-01-28,25930
ft.com,2016-01-29,23350
